id,title,year,released_month,genre,rated,runtime,language,director,writer,main_actor,metascore,rating,votes,budget,gross
"862","Kon-Tiki","2012","Apr","Adventure","PG-13","118","Norwegian","Joachim Rønning, Espen Sandberg","Petter Skavlan","Pål Sverre Hagen","62","72","32690","16600000","1511798"
"863","The Dark Knight Rises","2012","Jul","Action","PG-13","164","English","Christopher Nolan","Jonathan Nolan","Christian Bale","78","85","1083580","250000000","448139099"
"864","The Gift","2015","Aug","Mystery","R","108","English","Joel Edgerton","Joel Edgerton","Jason Bateman","77","71","64793","5000000","43771291"
"865","The Hobbit: The Battle of the Five Armies","2014","Dec","Adventure","PG-13","144","English","Peter Jackson","Fran Walsh","Ian McKellen","59","75","330419","250000000","255119788"
"866","Anchorman 2: The Legend Continues","2013","Dec","Comedy","PG-13","119","English","Adam McKay","Will Ferrell","Will Ferrell","61","63","124988","50000000","125118135"
"867","Sholem Aleichem: Laughing in the Darkness","2011","Jul","Documentary","UNRATED","93","English","Joseph Dorman","Joseph Dorman","Rachel Dratch","77","68","157","500000","906666"
"868","The Railway Man","2013","May","Biography","R","116","English","Jonathan Teplitzky","Frank Cottrell Boyce","Jeremy Irvine","59","71","26182","18000000","4435083"
"869","Haywire","2011","Jan","Action","R","93","English","Steven Soderbergh","Lem Dobbs","Gina Carano","67","58","71129","23000000","18942396"
"870","Runaway Slave","2012","Jan","Documentary","PG","108","English","Pritchett Cotten","Pritchett Cotten","Glenn Beck","N/A","65","246","100000","47813"
"871","Meet Monica Velour","2010","Apr","Comedy","R","98","English","Keith Bearden","Keith Bearden","Kim Cattrall","51","59","1750","5000000","31649"
"872","The Immigrant","2013","May","Drama","R","120","English","James Gray","James Gray","Marion Cotillard","77","66","19503","16000000","2013456"
"873","The Dilemma","2011","Jan","Comedy","PG-13","111","English","Ron Howard","Allan Loeb","Vince Vaughn","46","53","42841","70000000","48430355"
"874","Preacher's Kid","2010","Jan","Drama","PG-13","110","English","Stan Foster","Stan Foster","Letoya Luckett","N/A","50","615","7000000","514522"
"875","Tiny Furniture","2010","Mar","Comedy","NOT RATED","98","English","Lena Dunham","Lena Dunham","Lena Dunham","72","63","11317","65000","383549"
"876","Magic Mike","2012","Jun","Comedy","R","110","English","Steven Soderbergh","Reid Carolin","Matthew McConaughey","72","61","105531","7000000","113721571"
"877","Horrible Bosses","2011","Jul","Comedy","R","98","English","Seth Gordon","Michael Markowitz","Jason Bateman","57","69","343231","35000000","117538559"
"878","Remember Me","2010","Mar","Drama","PG-13","113","English","Allen Coulter","Will Fetters","Caitlyn Rund","40","72","110510","16000000","19057024"
"879","Night at the Museum: Secret of the Tomb","2014","Dec","Adventure","PG","98","English","Shawn Levy","David Guion","Ben Stiller","47","62","61363","127000000","113733726"
"880","The Last Exorcism Part II","2013","Mar","Drama","PG-13","88","English","Ed Gass-Donnelly","Damien Chazelle","Ashley Bell","35","40","13135","5000000","15179302"
"881","The Summit","2012","Nov","Documentary","R","95","English","Nick Ryan","Mark Monroe","Christine Barnes","63","69","2535","1000000","218454"
"882","Broken City","2013","Jan","Crime","R","109","English","Allen Hughes","Brian Tucker","Mark Wahlberg","49","62","61967","35000000","19701164"
"883","The Karate Kid","2010","Jun","Action","PG","126","English","John G. Avildsen","Robert Mark Kamen","Ralph Macchio","N/A","72","119950","40000000","176591618"
"884","Terminator Genisys","2015","Jul","Action","PG-13","126","English","Alan Taylor","Laeta Kalogridis","Arnold Schwarzenegger","38","66","165960","155000000","89760956"
"885","Elysium","2013","Aug","Action","R","109","English","Neill Blomkamp","Neill Blomkamp","Matt Damon","61","66","322750","115000000","92572085"
"886","New Year's Eve","2011","Dec","Comedy","PG-13","113","English","Garry Marshall","Katherine Fugate","Michelle Pfeiffer","22","56","64613","56000000","54540525"
"887","Jem and the Holograms","2015","Oct","Adventure","PG","118","English","Jon M. Chu","Ryan Landels","Aubrey Peeples","42","39","2516","5000000","2184640"
"888","Maniac","2012","Jan","Horror","NOT RATED","89","English","Franck Khalfoun","Alexandre Aja","Nora Arnezeder","47","61","26323","6000000","20551"
"889","The Twilight Saga: Breaking Dawn - Part 1","2011","Nov","Adventure","PG-13","117","English","Bill Condon","Melissa Rosenberg","Taylor Lautner","45","49","177447","110000000","281287133"
"890","Albert Nobbs","2011","Feb","Drama","R","113","English","Rodrigo García","Gabriella Prekop","Glenn Close","57","66","19114","8000000","3014541"
"891","The Twilight Saga: Breaking Dawn - Part 2","2012","Nov","Adventure","PG-13","115","English","Bill Condon","Melissa Rosenberg","Kristen Stewart","52","55","179462","120000000","292298923"
"892","Cake","2014","Jan","Drama","R","102","English","Daniel Barnz","Patrick Tobin","Jennifer Aniston","49","65","24904","7000000","1873547"
"893","Vampire Academy","2014","Feb","Action","PG-13","104","English","Mark Waters","Richelle Mead","Zoey Deutch","30","56","38962","30000000","7791146"
"894","Dallas Buyers Club","2013","Nov","Biography","R","117","English","Jean-Marc Vallée","Craig Borten","Matthew McConaughey","84","80","311973","5000000","27298285"
"895","The Man with the Iron Fists","2012","Nov","Action","R","95","English","RZA","RZA","RZA","51","54","52574","15000000","15634090"
"896","If I Stay","2014","Aug","Drama","PG-13","107","English","R.J. Cutler","Shauna Cross","Chloë Grace Moretz","46","68","76515","11000000","49128389"
"897","The Chronicles of Narnia: The Voyage of the Dawn Treader","2010","Dec","Adventure","PG","113","English","Michael Apted","Christopher Markus","Georgie Henley","53","63","102187","155000000","104383624"
"898","Hotel Transylvania","2012","Sep","Animation","PG","91","English","Genndy Tartakovsky","Peter Baynham","Adam Sandler","47","71","153013","85000000","148313048"
"899","Multiple Sarcasms","2010","Apr","Drama","R","97","English","Brooks Branch","Brooks Branch","Timothy Hutton","35","49","526","2500000","28943"
"900","Dear John","2010","Feb","Drama","PG-13","108","English","Lasse Hallström","Jamie Linden","Channing Tatum","43","63","98113","25000000","80014842"
"901","Blood Ties","2013","Oct","Crime","R","127","English","Guillaume Canet","Guillaume Canet","Clive Owen","45","65","13579","25500000","41229"
"902","Harry Potter and the Deathly Hallows: Part 2","2011","Jul","Adventure","PG-13","130","English","David Yates","Steve Kloves","Ralph Fiennes","87","81","513319","125000000","381011219"
"903","No Strings Attached","2011","Jan","Comedy","R","108","English","Ivan Reitman","Elizabeth Meriwether","Natalie Portman","50","62","161529","25000000","70662220"
"904","The Hundred-Foot Journey","2014","Aug","Comedy","PG","122","English","Lasse Hallström","Steven Knight","Helen Mirren","55","73","48655","22000000","52593224"
"905","I, Frankenstein","2014","Jan","Action","PG-13","92","English","Stuart Beattie","Stuart Beattie","Aaron Eckhart","30","51","62694","65000000","19059018"
"906","Pain & Gain","2013","Apr","Action","R","129","English","Michael Bay","Christopher Markus","Mark Wahlberg","45","65","155046","26000000","49874933"
"907","Now You See Me","2013","May","Crime","PG-13","115","English","Louis Leterrier","Ed Solomon","Jesse Eisenberg","50","73","410271","75000000","117723989"
"908","The Losers","2010","Apr","Action","PG-13","97","English","Sylvain White","Peter Berg","Jeffrey Dean Morgan","44","64","72757","25000000","23580735"
"909","Shanghai","2010","Oct","Drama","R","105","English","Mikael Håfström","Hossein Amini","John Cusack","36","65","7370","50000000","44689"
"910","The Big Year","2011","Oct","Comedy","PG","100","English","David Frankel","Howard Franklin","John Cleese","53","62","33701","41000000","7204138"
"911","Oblivion","2013","Apr","Action","PG-13","124","English","Joseph Kosinski","Karl Gajdusek","Tom Cruise","54","70","372902","120000000","89021735"
"912","St. Vincent","2014","Oct","Comedy","PG-13","102","English","Theodore Melfi","Theodore Melfi","Bill Murray","64","73","67314","13000000","44134898"
"913","Looper","2012","Sep","Action","R","119","English","Rian Johnson","Rian Johnson","Joseph Gordon-Levitt","84","74","414789","30000000","66486205"
"914","The Raven","2012","Apr","Crime","R","110","English","James McTeigue","Hannah Shakespeare","John Cusack","44","64","71060","26000000","16008272"
"915","A Lego Brickumentary","2014","Jul","Documentary","G","93","English","Kief Davidson, Daniel Junge","Daniel Junge","Jason Bateman","51","67","975","1000000","100240"
"916","Nightcrawler","2014","Oct","Crime","R","117","English","Dan Gilroy","Dan Gilroy","Jake Gyllenhaal","76","79","267204","8500000","32279955"
"917","Alex Cross","2012","Oct","Action","PG-13","101","English","Rob Cohen","Marc Moss","Tyler Perry","30","51","27570","35000000","25739757"
"918","ATM","2012","Mar","Horror","R","90","English","David Brooks","Chris Sparling","Brian Geraghty","34","46","18060","3000000","2034"
"919","Last Vegas","2013","Nov","Comedy","PG-13","105","English","Jon Turteltaub","Dan Fogelman","Michael Douglas","48","66","103272","28000000","63910583"
"920","Big Mommas: Like Father, Like Son","2011","Feb","Action","PG-13","107","English","John Whitesell","Matt Fogel","Martin Lawrence","22","44","18798","32000000","37911876"
"921","Wish I Was Here","2014","Jul","Comedy","R","106","English","Zach Braff","Adam J. Braff","Zach Braff","43","67","27378","6000000","3054075"
"922","42","2013","Apr","Biography","PG-13","128","English","Brian Helgeland","Brian Helgeland","Chadwick Boseman","62","75","64331","40000000","95001343"
"923","A Most Wanted Man","2014","Aug","Crime","R","122","English","Anton Corbijn","Andrew Bovell","Grigoriy Dobrygin","73","68","54710","15000000","17053959"
"924","Cartas a Elena","2011","Mar","Drama","PG","97","Spanish","Llorent Barajas","Llorent Barajas","Carmen Salinas","N/A","67","72","1200000","7711"
"925","The Lincoln Lawyer","2011","Mar","Crime","R","118","English","Brad Furman","John Romano","Matthew McConaughey","63","73","169362","40000000","57981889"
"926","The Longest Ride","2015","Apr","Drama","PG-13","128","English","George Tillman Jr.","Nicholas Sparks","Britt Robertson","33","71","42134","34000000","37432299"
"927","Chasing Mavericks","2012","Oct","Biography","PG","116","English","Michael Apted, Curtis Hanson","Kario Salem","Gerard Butler","45","72","23960","20000000","6002756"
"928","Beyond the Lights","2014","Nov","Drama","PG-13","116","English","Gina Prince-Bythewood","Gina Prince-Bythewood","Gugu Mbatha-Raw","73","69","10201","7000000","14612840"
"929","Abraham Lincoln: Vampire Hunter","2012","Jun","Action","R","105","English","Timur Bekmambetov","Seth Grahame-Smith","Benjamin Walker","42","59","125341","69000000","37516013"
"930","The Ghouls","2015","Mar","Horror","R","81","English","Chad Ferrin","Chad Ferrin","Timothy Muskatell","N/A","41","415","37000000","816974"
"931","Newlyweds","2011","Dec","Comedy","NOT RATED","95","English","Edward Burns","Edward Burns","Edward Burns","N/A","64","1322","9000","4584"
"932","Red Tails","2012","Jan","Action","PG-13","125","English","Anthony Hemingway","John Ridley","Terrence Howard","46","59","28111","58000000","49875589"
"933","Syrup","2013","May","Comedy","R","90","English","Aram Rappaport","Max Barry","Juan Luis Acevedo","N/A","57","8732","2500000","656"
"934","Get the Gringo","2012","Mar","Action","R","96","English","Adrian Grunberg","Mel Gibson","Mel Gibson","N/A","70","83691","20000000","7378034"
"935","Ender's Game","2013","Nov","Action","PG-13","114","English","Gavin Hood","Gavin Hood","Asa Butterfield","51","67","177683","110000000","61737191"
"936","The American","2010","Sep","Crime","R","105","English","Anton Corbijn","Rowan Joffe","George Clooney","61","63","77538","20000000","35606376"
"937","American Sniper","2014","Jan","Action","R","133","English","Clint Eastwood","Jason Hall","Bradley Cooper","72","73","301563","58800000","350126372"
"938","Pompeii","2014","Feb","Action","PG-13","105","English","Paul W.S. Anderson","Janet Scott Batchler","Kit Harington","39","56","81197","100000000","23219748"
"939","Aloft","2014","Jan","Drama","R","112","English","Claudia Llosa","Claudia Llosa","Jennifer Connelly","34","53","1730","8000000","52961"
"940","Peeples","2013","May","Comedy","PG-13","95","English","Tina Gordon Chism","Tina Gordon Chism","Craig Robinson","52","52","4006","15000000","9123834"
"941","True Grit","2010","Dec","Adventure","PG-13","110","English","Ethan Coen, Joel Coen","Joel Coen","Jeff Bridges","80","77","232072","38000000","171031347"
"942","Alice in Wonderland","2010","Mar","Adventure","PG","108","English","Tim Burton","Linda Woolverton","Johnny Depp","53","65","289484","200000000","334185206"
"943","The Son of No One","2011","Jul","Crime","R","90","English","Dito Montiel","Dito Montiel","Al Pacino","36","51","13977","15000000","28870"
"944","Kung Fu Panda 2","2011","May","Animation","PG","91","English","Jennifer Yuh","Jonathan Aibel","Jack Black","67","73","168736","150000000","165249063"
"945","Zero Dark Thirty","2012","Jan","Drama","R","157","English","Kathryn Bigelow","Mark Boal","Jason Clarke","95","74","209176","40000000","95720716"
"946","Kung Fu Panda 3","2016","Jan","Animation","PG","95","English","Alessandro Carloni, Jennifer Yuh","Jonathan Aibel","Jack Black","65","76","12433","145000000","93912387"
"947","Rise of the Guardians","2012","Nov","Animation","PG","97","English","Peter Ramsey","David Lindsay-Abaire","Chris Pine","57","73","118701","145000000","103412758"
"948","Jackass 3D","2010","Oct","Documentary","R","94","English","Jeff Tremaine","Preston Lacy","Johnny Knoxville","56","71","46477","20000000","117224271"
"949","I'm in Love with a Church Girl","2013","Dec","Drama","PG","118","English","Steve Race","Galley Molina","Michael Madsen","23","44","1105","5000000","2057286"
"950","Chronicle","2012","Feb","Drama","PG-13","84","English","Josh Trank","Max Landis","Dane DeHaan","69","71","197846","12000000","64572496"
"951","Un gallo con muchos huevos","2015","Sep","Animation","PG-13","98","Spanish","Gabriel Riva Palacio Alatriste, Rodolfo Riva-Palacio Alatriste","Marqus Bobesich","Bruno Bichir","N/A","60","505","5300000","9019864"
"952","Contraband","2012","Jan","Action","R","109","English","Baltasar Kormákur","Aaron Guzikowski","Mark Wahlberg","51","65","99774","25000000","66528000"
"953","Big Miracle","2012","Feb","Biography","PG","107","English","Ken Kwapis","Jack Amiel","John Pingayak","61","65","14886","40000000","19966230"
"954","Hotel Transylvania 2","2015","Sep","Animation","PG","89","English","Genndy Tartakovsky","Robert Smigel","Adam Sandler","44","68","41918","80000000","169611752"
"955","The Gunman","2015","Mar","Action","R","115","English","Pierre Morel","Jean-Patrick Manchette","Sean Penn","39","58","25196","40000000","10640645"
"956","10 Days in a Madhouse","2015","Nov","Drama","R","111","English","Timothy Hines","Timothy Hines","Caroline Barry","N/A","85","232","12000000","14616"
"957","Man of Steel","2013","Jun","Action","PG-13","143","English","Zack Snyder","David S. Goyer","Henry Cavill","55","72","506090","225000000","291045518"
"958","Wall Street: Money Never Sleeps","2010","Sep","Drama","PG-13","133","English","Oliver Stone","Allan Loeb","Richard Stratton","59","63","81773","70000000","52474616"
"959","Aloha","2015","May","Comedy","PG-13","105","English","Cameron Crowe","Cameron Crowe","Bradley Cooper","40","55","34947","37000000","20991497"
"960","Winter's Bone","2010","Jul","Drama","R","100","English","Debra Granik","Debra Granik","Jennifer Lawrence","90","72","108655","2000000","6531503"
"961","End of Watch","2012","Sep","Crime","R","109","English","David Ayer","David Ayer","Jake Gyllenhaal","68","77","173285","7000000","41003371"
"962","Camp","2013","Aug","Comedy","PG-13","114","English","Todd Graff","Todd Graff","Daniel Letterle","55","64","4965","200000","324977"
"963","Captain Phillips","2013","Oct","Biography","PG-13","134","English","Paul Greengrass","Billy Ray","Tom Hanks","83","79","311232","55000000","106957071"
"964","Sweetwater","2012","Oct","Thriller","R","95","English","Logan Miller, Noah Miller","Logan Miller","Ed Harris","38","62","4216","1000000","250000"
"965","Third Person","2013","Nov","Drama","R","137","English","Paul Haggis","Paul Haggis","Liam Neeson","38","64","18898","28000000","874805"
"966","My Soul to Take","2010","Oct","Horror","R","107","English","Wes Craven","Wes Craven","Max Thieriot","25","48","16036","25000000","14637490"
"967","One Day","2011","Aug","Drama","PG-13","107","English","Lone Scherfig","David Nicholls","Anne Hathaway","48","70","100368","15000000","13766014"
"968","The Nutcracker in 3D","2010","Dec","Action","PG","110","English","Andrey Konchalovskiy","Andrey Konchalovskiy","Elle Fanning","18","45","2415","90000000","190562"
"969","The Obama Effect","2012","Jul","Comedy","PG-13","85","English","Charles S. Dutton","Charles S. Dutton","Charles S. Dutton","N/A","20","368","10000000","110251"
"970","White House Down","2013","Jun","Action","PG-13","131","English","Roland Emmerich","James Vanderbilt","Channing Tatum","52","64","154899","150000000","73103784"
"971","Madagascar 3: Europe's Most Wanted","2012","Jun","Animation","PG","93","English","Eric Darnell, Tom McGrath, Conrad Vernon","Eric Darnell","Ben Stiller","60","69","113188","145000000","216366733"
"972","Point Break","2015","Jul","Action","R","122","English","Kathryn Bigelow","Rick King","Patrick Swayze","58","72","106126","105000000","28617282"
"973","Anonymous","2011","Oct","Drama","PG-13","130","English","Roland Emmerich","John Orloff","Rhys Ifans","50","69","33754","30000000","4463292"
"974","Parkland","2013","Oct","Drama","PG-13","93","English","Peter Landesman","Peter Landesman","Marcia Gay Harden","51","63","11219","10000000","652355"
"975","The Vow","2012","Feb","Drama","PG-13","104","English","Michael Sucsy","Jason Katims","Rachel McAdams","43","68","139507","30000000","125014030"
"976","Killer Joe","2011","Jun","Crime","R","102","English","William Friedkin","Tracy Letts","Matthew McConaughey","62","67","57079","11000000","220282"
"977","Nebraska","2013","Jan","Adventure","R","115","English","Alexander Payne","Bob Nelson","Bruce Dern","86","78","87578","12000000","17654912"
"978","Kingsman: The Secret Service","2014","Feb","Action","R","129","English","Matthew Vaughn","Jane Goldman","Adrian Quinton","58","78","361155","81000000","128248205"
"979","Seventh Son","2014","Feb","Action","PG-13","102","English","Sergey Bodrov","Charles Leavitt","Jeff Bridges","30","55","50373","95000000","17223265"
"980","A Haunted House","2013","Jan","Comedy","R","86","English","Michael Tiddes","Marlon Wayans","Marlon Wayans","20","51","33271","2000000","40041683"
"981","Gnomeo & Juliet","2011","Feb","Animation","G","84","English","Kelly Asbury","Rob Sprackling","James McAvoy","53","60","41137","85000000","99967670"
"982","Katy Perry: Part of Me","2012","Jul","Documentary","PG","93","English","Dan Cutforth, Jane Lipsitz","Dan Cutforth, Jane Lipsitz","Katy Perry","57","59","12179","12000000","25240988"
"983","Lovelace","2013","Aug","Biography","R","93","English","Rob Epstein, Jeffrey Friedman","Andy Bellin","Amanda Seyfried","51","62","29448","10000000","354784"
"984","Take Shelter","2011","Nov","Drama","R","120","English","Jeff Nichols","Jeff Nichols","Michael Shannon","85","74","63256","5000000","1729969"
"985","Lost Woods","2012","Mar","Action","NOT RATED","88","English","Nathan Ellering, Phillip Ellering","Phillip Ellering","Joey Brown","N/A","22","185","125000","58240"
"986","The Switch","2010","Aug","Comedy","PG-13","101","English","Josh Gordon, Will Speck","Allan Loeb","Jason Bateman","52","61","75679","19000000","27758465"
"987","Child 44","2015","Apr","Crime","R","137","English","Daniel Espinosa","Richard Price","Xavier Atkins","41","64","34796","50000000","1206135"
"988","Suffragette","2015","Oct","Biography","PG-13","106","English","Sarah Gavron","Abi Morgan","Anne-Marie Duff","67","69","13771","14000000","4693356"
"989","Project X","2012","Mar","Comedy","R","88","English","Nima Nourizadeh","Matt Drake","Thomas Mann","48","67","152814","12000000","54731865"
"990","Infinitely Polar Bear","2014","Jun","Comedy","R","90","English","Maya Forbes","Maya Forbes","Mark Ruffalo","64","70","6545","6700000","1428647"
"991","My Name Is Khan","2010","Feb","Adventure","PG-13","165","Hindi","Karan Johar","Shibani Bathija","Shah Rukh Khan","50","80","64474","12000000","4018695"
"992","Lone Survivor","2013","Jan","Action","R","121","English","Peter Berg","Peter Berg","Mark Wahlberg","60","76","194235","40000000","125069696"
"993","Not Cool","2014","Sep","Comedy","NOT RATED","93","English","Shane Dawson","Dan Schoffer","Shane Dawson","1","52","3978","600000","35688"
"994","2 Days in New York","2012","Mar","Comedy","R","96","English","Julie Delpy","Julie Delpy","Chris Rock","61","60","11665","8000000","632824"
"995","Muppets Most Wanted","2014","Mar","Adventure","PG","107","English","James Bobin","James Bobin","Ricky Gervais","61","65","23290","50000000","51178893"
"996","Hugo","2011","Nov","Adventure","PG","126","English","Martin Scorsese","John Logan","Ben Kingsley","83","76","238317","170000000","73864507"
"997","90 Minutes in Heaven","2015","Sep","Drama","PG-13","121","English","Michael Polish","Don Piper","Hayden Christensen","28","45","1593","5000000","4700361"
"998","The Kids Are All Right","2010","Jul","Comedy","R","106","English","Lisa Cholodenko","Lisa Cholodenko","Julianne Moore","86","71","107889","3500000","20803237"
"999","Admission","2013","Mar","Comedy","PG-13","107","English","Paul Weitz","Karen Croner","Tina Fey","48","57","27662","13000000","18004225"
"1000","When the Game Stands Tall","2014","Aug","Drama","PG","115","English","Thomas Carter","Scott Marshall Smith","Jim Caviezel","41","67","11817","15000000","29224234"
"1001","Penguins of Madagascar","2014","Nov","Animation","PG","92","English","Eric Darnell, Simon J. Smith","Michael Colton","Tom McGrath","53","67","56726","132000000","83348920"
"1002","Epic","2013","May","Animation","PG","102","English","Chris Wedge","James V. Hart","Blake Anderson","52","67","82665","100000000","107515297"
"1003","Sabotage","2014","Mar","Action","R","109","English","David Ayer","Skip Woods","Arnold Schwarzenegger","41","57","45389","35000000","10508518"
"1004","The Other Guys","2010","Aug","Action","PG-13","107","English","Adam McKay","Adam McKay","Will Ferrell","64","66","182783","100000000","119219978"
"1005","Oculus","2013","Apr","Horror","R","104","English","Mike Flanagan","Mike Flanagan","Karen Gillan","61","65","79343","5000000","27689474"
"1006","Final Girl","2015","Aug","Action","R","90","English","Tyler Shields","Adam Prince","Abigail Breslin","N/A","46","5533","8000000","5500000"
"1007","Hail, Caesar!","2016","Feb","Comedy","PG-13","106","English","Ethan Coen, Joel Coen","Joel Coen","Josh Brolin","72","70","6449","22000000","21354970"
"1008","Black Mass","2015","Sep","Biography","R","123","English","Scott Cooper","Mark Mallouk","Johnny Depp","68","70","86586","65000000","62563543"
"1009","The Book of Eli","2010","Jan","Action","R","118","English","Albert Hughes, Allen Hughes","Gary Whitta","Denzel Washington","53","69","219189","80000000","94822707"
"1010","Maze Runner: The Scorch Trials","2015","Sep","Action","PG-13","132","English","Wes Ball","T.S. Nowlin","Dylan O'Brien","43","64","111679","61000000","81687587"
"1011","Red State","2011","Sep","Action","R","88","English","Kevin Smith","Kevin Smith","Michael Angarano","50","62","51796","4000000","1104682"
"1012","The Amazing Spider-Man","2012","Jul","Action","PG-13","136","English","Marc Webb","James Vanderbilt","Andrew Garfield","66","70","432531","230000000","262030663"
"1013","5 Days of War","2011","Jun","Action","R","113","English","Renny Harlin","Mikko Alanne","Rupert Friend","31","56","11921","20000000","17149"
"1014","Gulliver's Travels","2010","Dec","Adventure","PG","85","English","Rob Letterman","Joe Stillman","Jack Black","33","49","51486","112000000","42776259"
"1015","Skinless","2013","Oct","Horror","NOT RATED","80","English","Dustin Mills","Dustin Mills","Allison Egan","N/A","55","121","2000","400"
"1016","Cloudy with a Chance of Meatballs 2","2013","Sep","Animation","PG","95","English","Cody Cameron, Kris Pearn","Erica Rivinoja","Bill Hader","59","65","60492","78000000","119793567"
"1017","The Roommate","2011","Feb","Drama","PG-13","91","English","Christian E. Christiansen","Sonny Mallhi","Leighton Meester","23","48","28263","16000000","37300107"
"1018","Dolphin Tale","2011","Sep","Drama","PG","113","English","Charles Martin Smith","Karen Janszen","Harry Connick Jr.","64","69","17339","37000000","72279690"
"1019","Margin Call","2011","Sep","Drama","R","107","English","J.C. Chandor","J.C. Chandor","Kevin Spacey","76","71","88922","3500000","5354039"
"1020","22 Jump Street","2014","Jun","Action","R","112","English","Phil Lord, Christopher Miller","Michael Bacall","Jonah Hill","71","71","239704","50000000","188441614"
"1021","LOL","2012","Mar","Comedy","PG-13","97","English","Lisa Azuelos","Lisa Azuelos","Jean-Luc Bilodeau","N/A","42","43557","11000000","46500"
"1022","Faster","2010","Nov","Action","R","98","English","George Tillman Jr.","Tony Gayton","Dwayne Johnson","44","65","78708","24000000","23240020"
"1023","The Conspirator","2010","Apr","Crime","PG-13","122","English","Robert Redford","James D. Solomon","James McAvoy","55","70","23143","25000000","11538204"
"1024","Paranoia","2013","Aug","Drama","PG-13","106","English","Robert Luketic","Jason Hall","Liam Hemsworth","32","57","27144","35000000","7376027"
"1025","The Mortal Instruments: City of Bones","2013","Aug","Fantasy","PG-13","130","English","Harald Zwart","Jessica Postigo","Lily Collins","33","60","102559","60000000","31046201"
"1026","The Theory of Everything","2014","Nov","Biography","PG-13","123","English","James Marsh","Anthony McCarten","Eddie Redmayne","72","77","244595","15000000","35887263"
"1027","Monsters","2010","Dec","Drama","R","94","English","Gareth Edwards","Gareth Edwards","Scoot McNairy","63","64","73727","500000","237301"
"1028","Machine Gun Preacher","2011","Nov","Action","R","129","English","Marc Forster","Jason Keller","Gerard Butler","43","68","51678","30000000","538690"
"1029","Justin Bieber: Never Say Never","2011","Feb","Documentary","G","105","English","Jon M. Chu","Jon M. Chu","Justin Bieber","52","16","73936","13000000","73000942"
"1030","Deadpool","2016","Feb","Action","R","108","English","Tim Miller","Rhett Reese","Ryan Reynolds","65","86","145561","58000000","135050000"
"1031","One for the Money","2012","Jan","Action","PG-13","91","English","Julie Anne Robinson","Stacy Sherman","Katherine Heigl","22","53","33408","40000000","26414527"
"1032","Legend","2015","Nov","Biography","R","132","English","Brian Helgeland","Brian Helgeland","Paul Anderson","55","71","53745","30000000","1872994"
"1033","Endless Love","2014","Feb","Drama","PG-13","104","English","Shana Feste","Shana Feste","Alex Pettyfer","30","63","29176","20000000","23393765"
"1034","The Twilight Saga: Eclipse","2010","Jun","Adventure","PG-13","124","English","David Slade","Melissa Rosenberg","Xavier Samuel","58","49","179301","68000000","300531751"
"1035","Paper Towns","2015","Jul","Drama","PG-13","109","English","Jake Schreier","John Green","Nat Wolff","56","64","52522","12000000","31990064"
"1036","Man of Tai Chi","2013","Jul","Action","R","105","Cantonese","Keanu Reeves","Michael G. Cooney","Tiger Hu Chen","52","61","27171","25000000","100144"
"1037","Buried","2010","Oct","Drama","R","95","English","Rodrigo Cortés","Chris Sparling","Ryan Reynolds","65","70","114121","3000000","1028658"
"1038","Heaven Is for Real","2014","Apr","Drama","PG","99","English","Randall Wallace","Randall Wallace","Greg Kinnear","47","58","20049","12000000","91386097"
"1039","The Lego Movie","2014","Feb","Animation","PG","100","English","Phil Lord, Christopher Miller","Phil Lord","Will Arnett","83","78","234088","60000000","257716507"
"1040","Fury","2014","Oct","Action","R","134","English","David Ayer","David Ayer","Brad Pitt","64","76","281882","68000000","85817906"
"1041","Alive Inside","2014","Oct","Documentary","NOT RATED","78","English","Michael Rossato-Bennett","Michael Rossato-Bennett","Dan Cohen","67","82","1828","600000","7200"
"1042","Samsara","2011","Aug","Documentary","PG-13","102","N/A","Ron Fricke","Ron Fricke","Balinese Tari Legong Dancers","65","85","20856","4000000","2587431"
"1043","Judy Moody and the Not Bummer Summer","2011","Jun","Comedy","PG","91","English","John Schultz","Kathy Waugh","Jordana Beatty","37","41","2273","20000000","15000994"
"1044","Grudge Match","2013","Dec","Comedy","PG-13","113","English","Peter Segal","Tim Kelleher","Jim Lampley","35","64","44672","40000000","29802761"
"1045","Warrior","2011","Sep","Drama","PG-13","140","English","Gavin O'Connor","Gavin O'Connor","Joel Edgerton","71","82","318099","25000000","13657115"
"1046","The Dictator","2012","May","Comedy","R","83","English","Larry Charles","Sacha Baron Cohen","Sacha Baron Cohen","58","64","203496","65000000","59617068"
"1047","The Descendants","2011","Dec","Comedy","R","115","English","Alexander Payne","Alexander Payne","George Clooney","84","73","201096","20000000","82624961"
"1048","WARx2","2014","Apr","Documentary","PG-13","117","English","Bernie Olaf","Bernie Olaf","Betty Adams","N/A","93","2024","3000000","39705"
"1049","The November Man","2014","Aug","Action","R","108","English","Roger Donaldson","Michael Finch","Pierce Brosnan","38","63","47052","15000000","24823474"
"1050","Middle of Nowhere","2012","Jul","Comedy","R","95","English","John Stockwell","Michelle Morgan","Eva Amurri Martino","N/A","66","2958","200000","78030"
"1051","The Power of Few","2013","Feb","Action","R","96","English","Leone Marucci","Leone Marucci","Christopher Walken","N/A","54","3268","4000000","30444"
"1052","Alvin and the Chipmunks: Chipwrecked","2011","Dec","Animation","G","87","English","Mike Mitchell","Jonathan Aibel","Jason Lee","24","44","21483","75000000","133103929"
